Date,消費支出,消費支出増加フラグ,食料-1ヶ月前,住居-1ヶ月前,光熱・水道-1ヶ月前,家具・家事用品-1ヶ月前,被服及び履物-1ヶ月前,保健医療-1ヶ月前,交通・通信-1ヶ月前,教育-1ヶ月前,教養娯楽-1ヶ月前,諸雑費-1ヶ月前,食料-2ヶ月前,住居-2ヶ月前,光熱・水道-2ヶ月前,家具・家事用品-2ヶ月前,被服及び履物-2ヶ月前,保健医療-2ヶ月前,交通・通信-2ヶ月前,教育-2ヶ月前,教養娯楽-2ヶ月前,諸雑費-2ヶ月前,食料-3ヶ月前,住居-3ヶ月前,光熱・水道-3ヶ月前,家具・家事用品-3ヶ月前,被服及び履物-3ヶ月前,保健医療-3ヶ月前,交通・通信-3ヶ月前,教育-3ヶ月前,教養娯楽-3ヶ月前,諸雑費-3ヶ月前,食料-4ヶ月前,住居-4ヶ月前,光熱・水道-4ヶ月前,家具・家事用品-4ヶ月前,被服及び履物-4ヶ月前,保健医療-4ヶ月前,交通・通信-4ヶ月前,教育-4ヶ月前,教養娯楽-4ヶ月前,諸雑費-4ヶ月前,食料-5ヶ月前,住居-5ヶ月前,光熱・水道-5ヶ月前,家具・家事用品-5ヶ月前,被服及び履物-5ヶ月前,保健医療-5ヶ月前,交通・通信-5ヶ月前,教育-5ヶ月前,教養娯楽-5ヶ月前,諸雑費-5ヶ月前,食料-6ヶ月前,住居-6ヶ月前,光熱・水道-6ヶ月前,家具・家事用品-6ヶ月前,被服及び履物-6ヶ月前,保健医療-6ヶ月前,交通・通信-6ヶ月前,教育-6ヶ月前,教養娯楽-6ヶ月前,諸雑費-6ヶ月前
1985年7月,"281,604",1,81.1,75.6,87.9,155.5,82,80.3,99.1,63.7,101.6,74.6,81.5,75.1,87.8,155.5,80.7,80.2,97.9,63.7,101.9,74.5,81.5,75.1,87.8,155.5,80.7,80.2,97.9,63.7,101.9,74.5,81.2,74.9,87.6,155.2,79.3,80.1,97.9,61.1,101.1,74.5,80.9,74.7,87.6,155,78,78.8,97.5,61.1,100.8,74.5,81.2,74.6,87.8,155.7,79.4,78.8,97.9,61.1,101.7,74.4
1985年8月,"266,596",0,81.8,75.7,87.8,155.5,81.3,80.4,99,63.7,101.5,74.7,81.2,75.5,87.8,155.5,82,80.3,99.3,63.7,101.4,74.6,81.2,75.5,87.8,155.5,82,80.3,99.3,63.7,101.4,74.6,81.5,75.1,87.8,155.5,80.7,80.2,97.9,63.7,101.9,74.5,81.2,74.9,87.6,155.2,79.3,80.1,97.9,61.1,101.1,74.5,80.9,74.7,87.6,155,78,78.8,97.5,61.1,100.8,74.5
1985年9月,"249,416",0,81.8,75.8,87.8,155.3,78.2,80.4,98.8,63.7,102.5,74.7,81.1,75.6,87.9,155.5,82,80.3,99.1,63.7,101.6,74.6,81.1,75.6,87.9,155.5,82,80.3,99.1,63.7,101.6,74.6,81.2,75.5,87.8,155.5,82,80.3,99.3,63.7,101.4,74.6,81.5,75.1,87.8,155.5,80.7,80.2,97.9,63.7,101.9,74.5,81.2,74.9,87.6,155.2,79.3,80.1,97.9,61.1,101.1,74.5
1985年10月,"264,096",1,81.3,75.9,87.8,155.7,81.7,80.4,98.8,63.8,101.9,74.7,81.8,75.7,87.8,155.5,81.3,80.4,99,63.7,101.5,74.7,81.8,75.7,87.8,155.5,81.3,80.4,99,63.7,101.5,74.7,81.1,75.6,87.9,155.5,82,80.3,99.1,63.7,101.6,74.6,81.2,75.5,87.8,155.5,82,80.3,99.3,63.7,101.4,74.6,81.5,75.1,87.8,155.5,80.7,80.2,97.9,63.7,101.9,74.5
1985年11月,"257,024",0,82.9,76,87.8,155.8,82.7,80.5,99.2,63.8,102.4,74.7,81.8,75.8,87.8,155.3,78.2,80.4,98.8,63.7,102.5,74.7,81.8,75.8,87.8,155.3,78.2,80.4,98.8,63.7,102.5,74.7,81.8,75.7,87.8,155.5,81.3,80.4,99,63.7,101.5,74.7,81.1,75.6,87.9,155.5,82,80.3,99.1,63.7,101.6,74.6,81.2,75.5,87.8,155.5,82,80.3,99.3,63.7,101.4,74.6
1985年12月,"378,402",1,80.7,76.2,87.5,155.8,83.5,80.5,99.3,63.8,102.1,74.7,81.3,75.9,87.8,155.7,81.7,80.4,98.8,63.8,101.9,74.7,81.3,75.9,87.8,155.7,81.7,80.4,98.8,63.8,101.9,74.7,81.8,75.8,87.8,155.3,78.2,80.4,98.8,63.7,102.5,74.7,81.8,75.7,87.8,155.5,81.3,80.4,99,63.7,101.5,74.7,81.1,75.6,87.9,155.5,82,80.3,99.1,63.7,101.6,74.6
1986年1月,"261,791",0,80.9,76.5,87.3,155.7,83.3,80.6,99.5,63.8,102.5,74.7,82.9,76,87.8,155.8,82.7,80.5,99.2,63.8,102.4,74.7,82.9,76,87.8,155.8,82.7,80.5,99.2,63.8,102.4,74.7,81.3,75.9,87.8,155.7,81.7,80.4,98.8,63.8,101.9,74.7,81.8,75.8,87.8,155.3,78.2,80.4,98.8,63.7,102.5,74.7,81.8,75.7,87.8,155.5,81.3,80.4,99,63.7,101.5,74.7
1986年2月,"239,053",0,82.6,76.5,87.2,155.5,80.9,80.7,99.5,63.8,102.4,74.7,80.7,76.2,87.5,155.8,83.5,80.5,99.3,63.8,102.1,74.7,80.7,76.2,87.5,155.8,83.5,80.5,99.3,63.8,102.1,74.7,82.9,76,87.8,155.8,82.7,80.5,99.2,63.8,102.4,74.7,81.3,75.9,87.8,155.7,81.7,80.4,98.8,63.8,101.9,74.7,81.8,75.8,87.8,155.3,78.2,80.4,98.8,63.7,102.5,74.7
1986年3月,"294,406",1,82.4,76.6,87.2,155.3,79.9,80.7,99.4,63.8,102.4,74.8,80.9,76.5,87.3,155.7,83.3,80.6,99.5,63.8,102.5,74.7,80.9,76.5,87.3,155.7,83.3,80.6,99.5,63.8,102.5,74.7,80.7,76.2,87.5,155.8,83.5,80.5,99.3,63.8,102.1,74.7,82.9,76,87.8,155.8,82.7,80.5,99.2,63.8,102.4,74.7,81.3,75.9,87.8,155.7,81.7,80.4,98.8,63.8,101.9,74.7
1986年4月,"284,079",0,81.9,76.8,87.1,155.5,81.2,80.7,99.1,63.8,102.5,74.7,82.6,76.5,87.2,155.5,80.9,80.7,99.5,63.8,102.4,74.7,82.6,76.5,87.2,155.5,80.9,80.7,99.5,63.8,102.4,74.7,80.9,76.5,87.3,155.7,83.3,80.6,99.5,63.8,102.5,74.7,80.7,76.2,87.5,155.8,83.5,80.5,99.3,63.8,102.1,74.7,82.9,76,87.8,155.8,82.7,80.5,99.2,63.8,102.4,74.7
1986年5月,"263,879",0,81.8,77,87.1,155.7,82.6,81.8,98.5,65.8,103.2,74.7,82.4,76.6,87.2,155.3,79.9,80.7,99.4,63.8,102.4,74.8,82.4,76.6,87.2,155.3,79.9,80.7,99.4,63.8,102.4,74.8,82.6,76.5,87.2,155.5,80.9,80.7,99.5,63.8,102.4,74.7,80.9,76.5,87.3,155.7,83.3,80.6,99.5,63.8,102.5,74.7,80.7,76.2,87.5,155.8,83.5,80.5,99.3,63.8,102.1,74.7
